0112281,"Ace Ventura: When Nature Calls ",1995,"Steve Oedekerk", "6.4"
0112286,"Across the Sea of Time ",1995,"Stephen Low", "6.4"
0112288,"The Addiction ",1995,"Abel Ferrara", "6.4"
0112302,"Tom and Huck ",1995,"Peter Hewitt", "5.6"
0112342,"The Amazing Panda Adventure ",1995,"Christopher Cain", "5.8"
0112346,"The American President ",1995,"Rob Reiner", "6.8"
0112364,"Angela ",1995,"Rebecca Miller", "6.4"
0112365,"Angels and Insects ",1995,"Philip Haas", "7.0"
0112373,"Anne Frank Remembered ",1995,"Jon Blair", "8.1"
0112379,"Antonia ",1995,"Marleen Gorris", "7.5"
0112384,"Apollo 13 ",1995,"Ron Howard", "7.6"
0112401,"Assassins ",1995,"Richard Donner", "6.3"
0112427,"An Awfully Big Adventure ",1995,"Mike Newell", "6.0"
0112431,"Babe ",1995,"Chris Noonan", "6.8"
0112438,"The Babysitter ",1995,"Guy Ferland", "4.3"
0112442,"Bad Boys ",1995,"Michael Bay", "6.9"
0112445,"Badkonake sefid ",1995,"Jafar Panahi", "7.8"
0112453,"Balto ",1995,"Simon Wells", "7.1"
0112461,"The Basketball Diaries ",1995,"Scott Kalvert", "7.3"
0112462,"Batman Forever ",1995,"Joel Schumacher", "5.4"
0112471,"Before Sunrise ",1995,"Richard Linklater", "8.1"
0112495,"Beyond Rangoon ",1995,"John Boorman", "6.6"
0112499,"The Big Green ",1995,"Holly Goldberg Sloan", "5.5"
0112508,"Billy Madison ",1995,"Tamra Davis", "6.4"
0112541,"Blue in the Face ",1995,"Paul Auster, Wayne Wang, Harvey Wang", "6.7"
0112556,"Le bonheur est dans le pré ",1995,"Étienne Chatiliez", "7.0"
0112571,"Boys on the Side ",1995,"Herbert Ross", "6.4"
0112573,"Braveheart ",1995,"Mel Gibson", "8.4"
0112579,"The Bridges of Madison County ",1995,"Clint Eastwood", "7.6"
0112585,"The Brothers McMullen ",1995,"Edward Burns", "6.6"
0112602,"Bushwhacked ",1995,"Greg Beeman", "5.5"
0112637,"Carrington ",1995,"Christopher Hampton", "6.9"
0112641,"Casino ",1995,"Martin Scorsese", "8.2"
0112642,"Casper ",1995,"Brad Silberling", "6.1"
0112643,"Castle Freak ",Video 1995,"Stuart Gordon", "5.9"
0112646,"Catwalk ",1995,"Robert Leacock", "6.3"
0112679,"Circle of Friends ",1995,"Pat O'Connor", "6.6"
0112682,"La cité des enfants perdus ",1995,"Marc Caro, Jean-Pierre Jeunet", "7.6"
0112688,"Clockers ",1995,"Spike Lee", "6.9"
0112697,"Clueless ",1995,"Amy Heckerling", "6.8"
0112714,"Le confessionnal ",1995,"Robert Lepage", "7.5"
0112715,"Congo ",1995,"Frank Marshall", "5.1"
0112722,"Copycat ",1995,"Jon Amiel", "6.6"
0112740,"Crimson Tide ",1995,"Tony Scott", "7.3"
0112744,"The Crossing Guard ",1995,"Sean Penn", "6.3"
0112749,"Cry, the Beloved Country ",1995,"Darrell Roodt", "6.9"
0112757,"The Cure ",1995,"Peter Horton", "7.7"
0112760,"Cutthroat Island ",1995,"Renny Harlin", "5.6"
0112792,"Dangerous Minds ",1995,"John N. Smith", "6.5"
0112818,"Dead Man Walking ",1995,"Tim Robbins", "7.5"
0112819,"Dead Presidents ",1995,"Albert Hughes, Allen Hughes", "6.9"
0112851,"Desperado ",1995,"Robert Rodriguez", "7.2"
0112854,"Destiny Turns on the Radio ",1995,"Jack Baran", "4.5"
0112857,"Devil in a Blue Dress ",1995,"Carl Franklin", "6.7"
0112864,"Die Hard with a Vengeance ",1995,"John McTiernan", "7.6"
0112883,"Don Juan DeMarco ",1994,"Jeremy Leven", "6.7"
0112887,"The Doom Generation ",1995,"Gregg Araki", "6.0"
0112896,"Dracula: Dead and Loving It ",1995,"Mel Brooks", "5.8"
0112899,"Dream Man ",Video 1995,"René Bonnière", "4.7"
0113010,"Fair Game ",1995,"Andrew Sipes", "4.2"
0113028,"Far from Home: The Adventures of Yellow Dog ",1995,"Phillip Borsos", "6.4"
0113041,"Father of the Bride Part II ",1995,"Charles Shyer", "6.0"
0113044,"Feast of July ",1995,"Christopher Menaul", "6.3"
0113071,"First Knight ",1995,"Jerry Zucker", "5.9"
0113089,"Fluke ",1995,"Carlo Carlei", "6.7"
0113097,"Forget Paris ",1995,"Billy Crystal", "6.4"
0113101,"Four Rooms ",1995,"Allison Anders, Alexandre Rockwell, Robert Rodriguez", "6.8"
0113107,"Frankie Starlight ",1995,"Michael Lindsay-Hogg", "6.7"
0113114,"Free Willy 2: The Adventure Home ",1995,"Dwight H. Little", "5.0"
0113117,"French Kiss ",1995,"Lawrence Kasdan", "6.6"
0113118,"Friday ",1995,"F. Gary Gray", "7.3"
0113125,"From the Journals of Jean Seberg ",1995,"Mark Rappaport", "7.1"
0113149,"Gazon maudit ",1995,"Josiane Balasko", "6.4"
0113158,"Georgia ",1995,"Ulu Grosbard", "6.5"
0113161,"Get Shorty ",1995,"Barry Sonnenfeld", "6.9"
0113189,"GoldenEye ",1995,"Martin Campbell", "7.2"
0113198,"A Goofy Movie ",1995,"Kevin Lima", "6.8"
0113199,"Gordy ",1995,"Mark Lewis", "3.9"
0113200,"Gospa ",1995,"Jakov Sedlar", "5.0"
0113228,"Grumpier Old Men ",1995,"Howard Deutch", "6.6"
0113234,"Gumby 1 ",1995,"Art Clokey", "6.4"
0113243,"Hackers ",1995,"Iain Softley", "6.2"
0113247,"La haine ",1995,"Mathieu Kassovitz", "8.1"
0113276,"Headless Body in Topless Bar ",1995,"James Bruce", "4.8"
0113277,"Heat ",1995,"Michael Mann", "8.2"
0113283,"Heidi Fleiss: Hollywood Madam ",TV Movie 1995,"Nick Broomfield", "6.6"
0113303,"Hideaway ",1995,"Brett Leonard", "5.3"
0113321,"Home for the Holidays ",1995,"Jodie Foster", "6.6"
0113326,"Hung fan kui ",1995,"Stanley Tong", "6.8"
0113347,"How to Make an American Quilt ",1995,"Jocelyn Moorhouse", "6.2"
0113360,"The Hunted ",1995,"J.F. Lawton", "6.0"
0113403,"In the Bleak Midwinter ",1995,"Kenneth Branagh", "7.3"
0113419,"The Indian in the Cupboard ",1995,"Frank Oz", "6.0"
0113442,"It Takes Two ",1995,"Andy Tennant", "5.8"
0113451,"Jade ",1995,"William Friedkin", "5.2"
0113463,"Jefferson in Paris ",1995,"James Ivory", "5.7"
0113464,"Jeffrey ",1995,"Christopher Ashley", "6.7"
0113481,"Johnny Mnemonic ",1995,"Robert Longo", "5.6"
0113490,"The Journey of August King ",1995,"John Duigan", "6.6"
0113492,"Judge Dredd ",1995,"Danny Cannon", "5.5"
0113497,"Jumanji ",1995,"Joe Johnston", "6.9"
0113500,"Jury Duty ",1995,"John Fortenberry", "4.1"
0113501,"Just Cause ",1995,"Arne Glimcher", "6.4"
0113537,"Kicking and Screaming ",1995,"Noah Baumbach", "6.9"
0113538,"A Kid in King Arthur's Court ",1995,"Michael Gottlieb", "4.8"
0113540,"Kids ",1995,"Larry Clark", "7.0"
0113541,"Kids of the Round Table ",1995,"Robert Tinnell", "4.9"
0113552,"Kiss of Death ",1995,"Barbet Schroeder", "5.9"
0113612,"Last Summer in the Hamptons ",1995,"Henry Jaglom", "6.0"
0113627,"Leaving Las Vegas ",1995,"Mike Figgis", "7.5"
0113670,"A Little Princess ",1995,"Alfonso Cuarón", "7.7"
0113677,"Living in Oblivion ",1995,"Tom DiCillo", "7.5"
0113690,"Lord of Illusions ",1995,"Clive Barker", "6.1"
0113691,"Losing Isaiah ",1995,"Stephen Gyllenhaal", "6.4"
0113729,"Mad Love ",1995,"Antonia Bird", "5.3"
0113749,"Mallrats ",1995,"Kevin Smith", "7.2"
0113755,"Man of the House ",1995,"James Orr", "5.1"
0113756,"Man of the Year ",1995,"Dirk Shafer", "5.9"
0113774,"Margaret's Museum ",1995,"Mort Ransen", "7.3"
0113808,"Miami Rhapsody ",1995,"David Frankel", "5.4"
0113819,"Mighty Aphrodite ",1995,"Woody Allen", "7.1"
0113820,"Mighty Morphin Power Rangers: The Movie ",1995,"Bryan Spicer", "5.2"
